id	cid	canonical_smiles	isomeric_smiles
903	101110124	"C(C(C(C(CO)OC1C(C(C(C(O1)C(=O)O)O)O)O)O)O)O"	"[2H]C([C@@H]([C@H]([C@H](C([2H])O)O[C@@H]1[C@@H]([C@H]([C@H]([C@H](O1)C(=O)O)O)O)O)O)O)O"
902	89432526	"C1C2=C(C(=NC=N2)CP(=O)(O)O)N=N1"	"C1C2=C(C(=NC=N2)CP(=O)(O)O)N=N1"
900	5312645	"CCCCCCCCCCCC#CCC#CCC(=O)O"	"CCCCCCCCCCCC#CCC#CCC(=O)O"
897	19910317	"CC=CC1=C(C(=CC=C1)O)O"	"C/C=C/C1=C(C(=CC=C1)O)O"
894	11365541	"CC1=CN(C(=O)NC1=O)C2CC(C(O2)COC(C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5)OP(=O)(OC=C)OC=C"	"CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COC(C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5)OP(=O)(OC=C)OC=C"
891	14668902	"CC1=CCC(C(C1O)C(=O)O)C(=O)O"	"CC1=CC[C@@H]([C@@H]([C@@H]1O)C(=O)O)C(=O)O"
8	85711399	"C(CCCCCC(=O)N)CCCCCC(=O)O"	"C(CCCCCC(=O)N)CCCCCC(=O)O"
884	137434672	"C1C2C(C3COC(C1O2)O3)OC4C(C(C(C(O4)CO)O)O)OCC5=CC=CC=C5"	"C1C2[C@@H]3OCC(O3)C(C1O2)OC4C(C(C(C(O4)CO)O)O)OCC5=CC=CC=C5"
882	11216201	"CC(=O)OCC1C(C(C(C(O1)OC2C(C(OC(C2OC(=O)C)OC3=CC=C(C=C3)OC)COC(=O)C)OC(=O)C)OC(=O)C)O)OC(=O)C"	"CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@H]2[C@@H]([C@H](O[C@H]([C@@H]2OC(=O)C)OC3=CC=C(C=C3)OC)COC(=O)C)OC(=O)C)OC(=O)C)O)OC(=O)C"
88	126186687	"CC1=C(C=CC(=C1)[N+](=O)[O-])N2C(=O)C3=C(C2=O)C=C(C=C3)C(=O)OCC4=CC=C(C=C4)[N+](=O)[O-]"	"CC1=C(C=CC(=C1)[N+](=O)[O-])N2C(=O)C3=C(C2=O)C=C(C=C3)C(=O)OCC4=CC=C(C=C4)[N+](=O)[O-]"
880	89342767	"CC1=CC(=CC(=C1C2C(C(C2OO)C3=C(C=C(C=C3O)O)O)OC)O)O"	"CC1=CC(=CC(=C1C2C(C(C2OO)C3=C(C=C(C=C3O)O)O)OC)O)O"
877	90111729	"CCCCCC(=O)OCC1C(C(C(C(O1)O)OC(=O)CC)OC(=O)CC)OC(=O)CCCCC"	"CCCCCC(=O)OC[C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)O)OC(=O)CC)OC(=O)CC)OC(=O)CCCCC"
876	5320519	"CC(CC1=CC(=C(C(=C1)OC)OC2C(C(C(C(O2)CO)O)O)O)OC)OC3C(C(C(C(O3)CO)O)O)O"	"C[C@H](CC1=CC(=C(C(=C1)OC)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)OC)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O"
