sharedname	SMARTS	complementary
Frag_438	[#7]~*~[#7]	
Frag_440	[#7]~*~*~[#7]	
Frag_441	[#7]~*~*~*~[#7]	
Frag_442	[#16]~*(~*)~*	
Frag_443	*~[CH2]~[!#6;!#1;!H0]	
Frag_444	[!#6;!#1]1~*~*~*~*~1	
Frag_445	[NH2]	
Frag_446	[#6]~[#7](~[#6])~[#6]	
Frag_447	[C;H2,H3][!#6;!#1][C;H2,H3]	
Frag_448	[F,Cl,Br,I]!@*@*	
Frag_449	contains	atleast1Sulfur
Frag_450	[#8]~*~*~*~[#8]	
Frag_451	[$([!#6;!#1;!H0]~*~*~[CH2]~*),$([!#6;!#1;!H0;R]1@[R]@[R]@[CH2;R]1),$([!#6;!#1;!H0]~[R]1@[R]@[CH2;R]1)]	
Frag_452	[$([!#6;!#1;!H0]~*~*~*~[CH2]~*),$([!#6;!#1;!H0;R]1@[R]@[R]@[R]@[CH2;R]1),$([!#6;!#1;!H0]~[R]1@[R]@[R]@[CH2;R]1),$([!#6;!#1;!H0]~*~[R]1@[R]@[CH2;R]1)]	
Frag_453	[#8]~[#6](~[#7])~[#6]	
Frag_454	[!#6;!#1]~[CH3]	
Frag_455	[!#6;!#1]~[#7]	
Frag_456	[#7]~*~*~[#8]	
Frag_457	*1~*~*~*~*~1	
Frag_458	[#7]~*~*~*~[#8]	
Frag_459	[!#6;!#1]1~*~*~*~*~*~1	
Frag_461	*~[CH2]~[#7]	
Frag_462		
Frag_463	[!#6;!#1]~[#8]	
Frag_464	Cl	
Frag_465	[!#6;!#1;!H0]~*~[CH2]~*	
Frag_467	[!#6;!#1]~*(~[!#6;!#1])~[!#6;!#1]	
Frag_469	[CH3]~*~*~*~[CH2]~*	
Frag_470	*~[CH2]~[#8]	
Frag_472	[#7]~*~[CH2]~*	
Frag_473	*~*(~*)(~*)~*	
Frag_474	[#8]!:*:*	
Frag_475	[CH3]~[CH2]~*	
Frag_476	[CH3]~*~[CH2]~*	
Frag_477	[$([CH3]~*~*~[CH2]~*),$([CH3]~*1~*~[CH2]1)]	
Frag_478	[#7]~*~[#8]	
Frag_479	[$(*~[CH2]~[CH2]~*),$(*1~[CH2]~[CH2]1)]	>=2
Frag_480	[#7]=*	
Frag_481	[!#6;R]	>=2
Frag_482	[#7;R]	
Frag_483	*~[#7](~*)~*	
Frag_484	[#8]~[#6]~[#8]	
Frag_485	[!#6;!#1]~[!#6;!#1]	
Frag_486		
Frag_487	*!@[#8]!@*	
Frag_488	*@*!@[#8]	>=2
Frag_489	[$(*~[CH2]~*~*~*~[CH2]~*),$([R]1@[CH2;R]@[R]@[R]@[R]@[CH2;R]1),$(*~[CH2]~[R]1@[R]@[R]@[CH2;R]1),$(*~[CH2]~*~[R]1@[R]@[CH2;R]1)]	
Frag_490	[$(*~[CH2]~*~*~[CH2]~*),$([R]1@[CH2]@[R]@[R]@[CH2;R]1),$(*~[CH2]~[R]1@[R]@[CH2;R]1)]	
Frag_491	[!#6;!#1]~[!#6;!#1]	>=2
Frag_492	[!#6;!#1;!H0]	>=2
Frag_493	[#8]~*~[CH2]~*	
Frag_494	*@*!@[#7]	
Frag_495	[F,Cl,Br,I]	
Frag_496	[#7]!:*:*	
Frag_497	[#8]=*	>=2
Frag_499	[!#6;!#1]~[CH2]~*	>=2
Frag_500	[O;!H0]	
Frag_502	[CH3]	>=3
Frag_505	*!:*:*!:*	
Frag_508	[$(*~[CH2]~[CH2]~*),$([R]1@[CH2;R]@[CH2;R]1)]	
Frag_509	*~[!#6;!#1](~*)~*	
Frag_510	[C;H3,H4]	>=2
Frag_511	*!@*@*!@*	
Frag_512	[#7;!H0]	
Frag_513	[#8]~[#6](~[#6])~[#6]	
Frag_514	[!#6;!#1]~[CH2]~*	
Frag_516	*!@[CH2]!@*	
Frag_517	[#7]~*(~*)~*	
Frag_518	[#6]-[#8]	
Frag_519	[#6]-[#7]	
Frag_521	[C;H3,H4]	
Frag_659	>=	1saturatedoraromatic
Frag_672	>=	1saturatedoraromatic
Frag_673	>=	1saturatedoraromatic
Frag_674	>=	1saturatedoraromatic
Frag_676	>=	1unsaturatednon-aromaticnitrogen-containing
Frag_677	>=	1unsaturatednon-aromaticheteroatom-containing
Frag_678	>=	2anyringsize
Frag_680	>=	2saturatedoraromatic
Frag_681	>=	2saturatedoraromatic
Frag_683	>=	2unsaturatednon-aromaticnitrogen-containing
Frag_684	>=	2unsaturatednon-aromaticheteroatom-containing
Frag_685	>=	3anyringsize
Frag_688	>=	3saturatedoraromatic
Frag_692	>=	4anyringsize
Frag_707	>=	1saturatedoraromatic
Frag_708	>=	1saturatedoraromatic
Frag_709	>=	1saturatedoraromatic
Frag_710	>=	1unsaturatednon-aromaticcarbon-only
Frag_711	>=	1unsaturatednon-aromaticnitrogen-containing
Frag_712	>=	1unsaturatednon-aromaticheteroatom-containing
Frag_713	>=	2anyringsize
Frag_714	>=	2saturatedoraromatic
Frag_715	>=	2saturatedoraromatic
Frag_716	>=	2saturatedoraromatic
Frag_717	>=	2unsaturatednon-aromaticcarbon-only
Frag_718	>=	2unsaturatednon-aromaticnitrogen-containing
Frag_719	>=	2unsaturatednon-aromaticheteroatom-containing
Frag_720	>=	3anyringsize
Frag_721	>=	3saturatedoraromatic
Frag_722	>=	3saturatedoraromatic
Frag_723	>=	3saturatedoraromatic
Frag_727	>=	4anyringsize
Frag_728	>=	4saturatedoraromatic
Frag_730	>=	4saturatedoraromatic
Frag_734	>=	5anyringsize
Frag_737	>=	5saturatedoraromatic
Frag_741	>=	1anyringsize
Frag_745	>=	1unsaturatednon-aromaticcarbon-only
Frag_746	>=	1unsaturatednon-aromaticnitrogen-containing
Frag_747	>=	1unsaturatednon-aromaticheteroatom-containing
Frag_755	>=	1anyringsize
Frag_756	>=	1saturatedoraromatic
Frag_785	>=	2aromaticrings
Frag_786	>=	2hetero-aromaticrings
Frag_787	>=	3aromaticrings
Frag_788	>=	3hetero-aromaticrings
Frag_789	>=	4aromaticrings
Frag_813	[#6]~[#7]	(C-N)
Frag_814	[#6]~[#8]	(C-O)
Frag_820	[#6]~[#15]	(C-P)
Frag_842	[#8]~[#15]	(O-P)
Frag_856	[#6](~Br)(~[#6])(~[#6])	(C(~Br)(~C)(~C))
Frag_864	[#6](~[#6])(~[#6])(~[#6])(~[#7])	(C(~C)(~C)(~C)(~N))
Frag_865	[#6](~[#6])(~[#6])(~[#6])(~[#8])	(C(~C)(~C)(~C)(~O))
Frag_866	[#6H1](~[#6])(~[#6])(~[#7])	(C(~C)(~C)(~H)(~N))
Frag_867	[#6H1](~[#6])(~[#6])(~[#8])	(C(~C)(~C)(~H)(~O))
Frag_868	[#6](~[#6])(~[#6])(~[#7])	(C(~C)(~C)(~N))
Frag_874	[#6&!H0](~[#6])(~[#8])	(C(~C)(~H)(~O))
Frag_875	[#6H1](~[#6])(~[#8])(~[#8])	(C(~C)(~H)(~O)(~O))
Frag_876	[#6&!H0](~[#6])(~[#15])	(C(~C)(~H)(~P))
